,PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Lname,NamePrefix
0,1,0,3,1,4,1,0,0,7,100,19
1,2,1,1,0,0,1,0,3,2,182,20
2,3,1,3,0,7,0,0,0,7,329,16
3,4,1,1,0,7,1,0,3,2,267,20
4,5,0,3,1,7,0,0,1,7,15,19
5,6,0,3,1,6,0,0,1,7,538,19
6,7,0,1,1,0,0,0,3,4,500,19
7,8,0,3,1,1,3,1,2,7,608,13
8,9,1,3,0,7,0,2,1,7,382,20
9,10,1,2,0,5,1,0,2,7,559,20
10,11,1,3,0,1,1,1,2,6,707,16
11,12,1,1,0,0,0,0,2,2,86,16
12,13,0,3,1,4,0,0,1,7,709,19
13,14,0,3,1,0,1,5,3,7,21,19
14,15,0,3,0,5,0,0,0,7,818,16
15,16,1,2,0,0,0,0,2,7,336,20
16,17,0,3,1,1,4,1,2,7,664,13
17,18,1,2,1,6,0,0,1,7,847,19
18,19,0,3,0,7,1,0,2,7,814,25
19,20,1,3,0,6,0,0,0,7,494,20
20,21,0,2,1,7,0,0,2,7,268,19
21,22,1,2,1,7,0,0,1,3,68,19
22,23,1,3,0,5,0,0,1,7,509,16
23,24,1,1,1,7,0,0,3,0,744,19
24,25,0,3,0,2,3,1,2,7,608,16
25,26,1,3,0,0,1,5,3,7,33,20
26,27,0,3,1,6,0,0,0,7,237,19
27,28,0,1,1,4,3,2,3,2,257,19
28,29,1,3,0,6,0,0,0,7,587,16
29,30,0,3,1,6,0,0,0,7,794,19
30,31,0,1,1,0,0,0,2,7,810,6
31,32,1,1,0,6,1,0,3,1,755,20
32,33,1,3,0,6,0,0,0,7,287,16
33,34,0,2,1,3,0,0,1,7,835,19
34,35,0,1,1,7,1,0,3,7,520,19
35,36,0,1,1,0,1,0,3,7,349,19
36,37,1,3,1,6,0,0,0,7,485,19
37,38,0,3,1,4,0,0,1,7,124,19
38,39,0,3,0,5,2,0,2,7,814,25
39,40,1,3,0,5,1,0,1,7,569,16
40,41,0,3,0,0,1,0,1,7,8,20
41,42,0,2,0,7,1,0,2,7,809,20
42,43,0,3,1,6,0,0,0,7,415,19
43,44,1,2,0,1,1,2,3,7,428,16
44,45,1,3,0,4,0,0,0,7,205,16
45,46,0,3,1,6,0,0,1,7,677,19
46,47,0,3,1,6,1,0,2,7,440,19
47,48,1,3,0,6,0,0,0,7,586,16
48,49,0,3,1,6,2,0,2,7,706,19
49,50,0,3,0,5,1,0,2,7,28,20
50,51,0,3,1,2,4,1,3,7,609,13
51,52,0,3,1,4,0,0,0,7,576,19
52,53,1,1,0,0,1,0,3,3,315,20
53,54,1,2,0,7,1,0,2,7,246,20
54,55,0,1,1,3,0,1,3,1,601,19
55,56,1,1,1,6,0,0,3,2,854,19
56,57,1,2,0,4,0,0,1,7,690,16
57,58,0,3,1,7,0,0,0,7,578,19
58,59,1,2,0,1,1,2,2,7,833,16
59,60,0,3,1,2,5,2,3,7,292,13
60,61,0,3,1,4,0,0,0,7,733,19
61,62,1,1,0,0,0,0,3,1,361,16
62,63,0,1,1,0,1,0,3,2,317,19
63,64,0,3,1,1,3,2,2,7,739,13
64,65,0,1,1,6,0,0,2,7,765,19
65,66,1,3,1,6,1,1,2,7,543,13
66,67,1,2,0,7,0,0,1,5,579,20
67,68,0,3,1,4,0,0,1,7,178,19
68,69,1,3,0,5,4,2,0,7,21,16
69,70,0,3,1,7,2,0,1,7,409,19
70,71,0,2,1,7,0,0,1,7,374,19
71,72,0,3,0,5,5,2,3,7,292,16
72,73,0,2,1,4,0,0,3,7,352,19
73,74,0,3,1,7,1,0,1,7,149,19
74,75,1,3,1,7,0,0,3,7,76,19
75,76,0,3,1,4,0,0,0,5,533,19
76,77,0,3,1,6,0,0,0,7,758,19
77,78,0,3,1,6,0,0,1,7,545,19
78,79,1,2,1,1,0,2,2,7,118,13
79,80,1,3,0,7,0,0,1,7,217,16
80,81,0,3,1,4,0,0,1,7,820,19
81,82,1,3,1,7,0,0,1,7,720,19
82,83,1,3,0,6,0,0,0,7,505,16
83,84,0,1,1,7,0,0,3,7,130,19
84,85,1,2,0,5,0,0,1,7,362,16
85,86,1,3,0,7,3,0,2,7,43,20
86,87,0,3,1,5,1,3,3,7,255,19
87,88,0,3,1,6,0,0,1,7,743,19
88,89,1,1,0,4,3,2,3,2,257,16
89,90,0,3,1,4,0,0,1,7,136,19
90,91,0,3,1,7,0,0,1,7,147,19
91,92,0,3,1,4,0,0,0,7,22,19
92,93,0,1,1,0,1,0,3,4,137,19
93,94,0,3,1,7,1,2,2,7,199,19
94,95,0,3,1,0,0,0,0,7,176,19
95,96,0,3,1,6,0,0,1,7,724,19
96,97,0,1,1,3,0,0,3,0,289,19
97,98,1,1,1,4,0,1,3,3,297,19
98,99,1,2,0,7,0,1,2,7,213,20
99,100,0,2,1,7,1,0,2,7,391,19
100,101,0,3,0,7,0,0,0,7,637,16
101,102,0,3,1,6,0,0,0,7,638,19
102,103,0,1,1,4,0,1,3,3,837,19
103,104,0,3,1,7,0,0,1,7,381,19
104,105,0,3,1,0,2,0,0,7,301,19
105,106,0,3,1,7,0,0,0,7,528,19
106,107,1,3,0,4,0,0,0,7,703,16
107,108,1,3,1,6,0,0,0,7,542,19
108,109,0,3,1,0,0,0,0,7,658,19
109,110,1,3,0,6,1,0,2,7,538,16
110,111,0,1,1,0,0,0,3,2,649,19
111,112,0,3,0,5,1,0,1,7,862,16
112,113,0,3,1,4,0,0,1,7,57,19
113,114,0,3,0,4,1,0,1,7,388,16
114,115,0,3,0,5,0,0,1,7,38,16
115,116,0,3,1,4,0,0,0,7,625,19
116,117,0,3,1,3,0,0,0,7,167,19
117,118,0,2,1,7,1,0,2,7,809,19
118,119,0,1,1,4,0,1,3,1,60,19
119,120,0,3,0,1,4,2,3,7,21,16
120,121,0,2,1,4,2,0,3,7,337,19
121,122,0,3,1,6,0,0,1,7,537,19
122,123,0,2,1,7,1,0,2,7,559,19
123,124,1,2,0,7,0,0,1,4,828,16
124,125,0,1,1,0,0,1,3,3,837,19
125,126,1,3,1,2,1,0,1,7,569,13
126,127,0,3,1,6,0,0,0,7,511,19
127,128,1,3,1,4,0,0,0,7,476,19
128,129,1,3,0,6,1,1,2,5,634,16
129,130,0,3,1,0,0,0,0,7,233,19
130,131,0,3,1,7,0,0,0,7,221,19
131,132,0,3,1,4,0,0,0,7,154,19
132,133,0,3,0,0,1,0,1,7,675,20
133,134,1,2,0,7,1,0,2,7,830,20
134,135,0,2,1,4,0,0,1,7,750,19
135,136,0,2,1,4,0,0,2,7,665,19
136,137,1,1,0,4,0,2,2,3,566,16
137,138,0,1,1,0,1,0,3,2,267,19
138,139,0,3,1,5,0,0,1,7,599,19
139,140,0,1,1,4,0,0,3,1,279,19
140,141,0,3,0,6,0,2,2,7,90,20
141,142,1,3,0,4,0,0,0,7,580,16
142,143,1,3,0,4,1,0,2,7,305,20
143,144,0,3,1,4,0,0,0,7,108,19
144,145,0,2,1,5,0,0,1,7,23,19
145,146,0,2,1,4,1,1,3,7,567,19
146,147,1,3,1,7,0,0,0,7,21,19
147,148,0,3,0,2,2,2,3,7,255,16
148,149,0,2,1,0,0,2,2,5,562,19
149,150,0,2,1,0,0,0,1,7,113,26
150,151,0,2,1,0,0,0,1,7,58,26
151,152,1,1,0,4,1,0,3,2,622,20
152,153,0,3,1,0,0,0,1,7,518,19
153,154,0,3,1,0,0,2,1,7,867,0
154,155,0,3,1,6,0,0,0,7,594,19
155,156,0,1,1,0,0,1,3,7,847,19
156,157,1,3,0,5,0,0,0,7,285,16
157,158,0,3,1,7,0,0,1,7,172,19
158,159,0,3,1,6,0,0,1,7,746,19
159,160,0,3,1,6,8,2,3,7,700,13
160,161,0,3,1,0,0,1,2,7,179,19
161,162,1,2,0,0,0,0,2,7,827,20
162,163,0,3,1,7,0,0,0,7,70,19
163,164,0,3,1,5,0,0,1,7,119,19
164,165,0,3,1,1,4,1,3,7,609,13
165,166,1,3,1,2,0,2,2,7,290,13
166,167,1,1,0,6,0,1,3,4,144,20
167,168,0,3,0,0,1,4,2,7,739,20
168,169,0,1,1,6,0,0,2,7,59,19
169,170,0,3,1,7,0,0,3,7,456,19
170,171,0,1,1,3,0,0,3,1,811,31
171,172,0,3,1,1,4,1,2,7,664,13
172,173,1,3,0,1,1,1,1,7,382,16
173,174,0,3,1,4,0,0,0,7,736,19
174,175,0,1,1,0,0,0,2,0,747,19
175,176,0,3,1,5,1,1,0,7,413,19
176,177,0,3,1,6,3,1,2,7,434,13
177,178,0,1,0,0,0,0,2,2,365,16
178,179,0,2,1,7,0,0,1,7,306,19
179,180,0,3,1,0,0,0,4,7,441,19
180,181,0,3,0,6,8,2,3,7,700,16
181,182,0,2,1,6,0,0,2,7,630,19
182,183,0,3,1,2,4,2,3,7,33,13
183,184,1,2,1,1,2,1,3,5,66,13
184,185,1,3,0,1,0,2,2,7,410,16
185,186,0,1,1,6,0,0,3,0,680,19
186,187,1,3,0,6,1,0,2,7,582,20
187,188,1,1,1,0,0,0,2,7,678,19
188,189,0,3,1,0,1,1,2,7,91,19
189,190,0,3,1,0,0,0,0,7,806,19
190,191,1,2,0,7,0,0,1,7,644,20
191,192,0,2,1,4,0,0,1,7,126,19
192,193,1,3,0,4,1,0,0,7,19,16
193,194,1,2,1,1,1,1,2,5,562,13
194,195,1,1,0,0,0,0,2,1,104,20
195,196,1,1,0,0,0,0,3,1,470,16
196,197,0,3,1,6,0,0,0,7,519,19
197,198,0,3,1,0,0,1,1,7,594,19
198,199,1,3,0,6,0,0,0,7,474,16
199,200,0,2,0,4,0,0,1,7,861,16
200,201,0,3,1,7,0,0,1,7,812,30
201,202,0,3,1,6,8,2,3,7,700,19
202,203,0,3,1,7,0,0,0,7,379,19
203,204,0,3,1,0,0,0,0,7,858,19
204,205,1,3,1,5,0,0,1,7,155,19
205,206,0,3,0,1,0,1,1,6,774,16
206,207,0,3,1,7,1,0,2,7,43,19
207,208,1,3,1,7,0,0,2,7,10,19
208,209,1,3,0,5,0,0,0,7,129,16
209,210,1,1,1,0,0,0,2,0,85,19
210,211,0,3,1,4,0,0,0,7,14,19
211,212,1,2,0,7,0,0,2,7,120,16
212,213,0,3,1,4,0,0,0,7,629,19
213,214,0,2,1,7,0,0,1,7,286,19
214,215,0,3,1,6,1,0,0,7,406,19
215,216,1,1,0,7,1,0,3,3,565,16
216,217,1,3,0,7,0,0,0,7,351,16
217,218,0,2,1,0,1,0,2,7,368,19
218,219,1,1,0,7,0,0,3,3,61,16
219,220,0,2,1,7,0,0,1,7,317,19
220,221,1,3,1,5,0,0,1,7,775,19
221,222,0,2,1,7,0,0,1,7,95,19
222,223,0,3,1,0,0,0,1,7,295,19
223,224,0,3,1,6,0,0,0,7,563,19
224,225,1,1,1,0,1,0,3,2,356,19
225,226,0,3,1,4,0,0,1,7,72,19
226,227,1,2,1,4,0,0,1,7,517,19
227,228,0,3,1,4,0,0,0,7,465,19
228,229,0,2,1,5,0,0,1,7,243,19
229,230,0,3,0,6,3,1,2,7,434,16
230,231,1,1,0,7,1,0,3,2,317,20
231,232,0,3,1,7,0,0,0,7,429,19
232,233,0,2,1,0,0,0,1,7,738,19
233,234,1,3,0,1,4,2,3,7,33,16
234,235,0,2,1,4,0,0,1,7,446,19
235,236,0,3,0,6,0,0,0,7,313,16
236,237,0,2,1,0,1,0,2,7,346,19
237,238,1,2,0,2,0,2,2,7,162,16
238,239,0,2,1,4,0,0,1,7,628,19
239,240,0,2,1,7,0,0,1,7,358,19
240,241,0,3,0,6,1,0,1,7,862,16
241,242,1,3,0,6,1,0,2,7,550,16
242,243,0,2,1,7,0,0,1,7,158,19
243,244,0,3,1,4,0,0,0,7,477,19
244,245,0,3,1,7,0,0,0,7,38,19
245,246,0,1,1,0,2,0,3,2,525,7
246,247,0,3,0,4,0,0,0,7,448,16
247,248,1,2,0,4,0,2,1,7,307,20
248,249,1,1,1,0,1,1,3,3,67,19
249,250,0,2,1,0,1,0,2,7,131,26
250,251,0,3,1,6,0,0,0,7,656,19
251,252,0,3,0,7,1,1,1,6,774,20
252,253,0,1,1,3,0,0,2,2,762,19
253,254,0,3,1,7,1,0,2,7,459,19
254,255,0,3,0,0,0,2,2,7,681,20
255,256,1,3,0,7,0,2,2,7,801,20
256,257,1,1,0,6,0,0,3,7,790,20
257,258,1,1,0,7,0,0,3,1,142,16
258,259,1,1,0,7,0,0,3,7,823,16
259,260,1,2,0,0,0,1,2,7,613,20
260,261,0,3,1,6,0,0,0,7,747,19
261,262,1,3,1,1,4,2,3,7,33,13
262,263,0,1,1,0,1,1,3,4,783,19
263,264,0,1,1,0,0,0,4,1,318,19
264,265,0,3,0,6,0,0,0,7,334,16
265,266,0,2,1,0,0,0,1,7,657,19
266,267,0,3,1,5,4,1,3,7,609,19
267,268,1,3,1,4,1,0,0,7,632,19
268,269,1,1,0,0,0,1,3,2,294,20
269,270,1,1,0,7,0,0,3,2,81,16
270,271,0,1,1,6,0,0,2,7,116,19
271,272,1,3,1,4,0,0,4,7,799,19
272,273,1,2,0,0,0,1,2,7,516,20
273,274,0,1,1,0,0,1,2,2,560,19
274,275,1,3,0,6,0,0,0,7,325,16
275,276,1,1,0,3,1,0,3,3,24,16
276,277,0,3,0,0,0,0,0,7,449,16
277,278,0,2,1,6,0,0,4,7,611,19
278,279,0,3,1,2,4,1,2,7,664,13
279,280,1,3,0,7,1,1,2,7,1,20
280,281,0,3,1,3,0,0,0,7,223,19
281,282,0,3,1,7,0,0,0,7,595,19
282,283,0,3,1,5,0,0,1,7,865,24
283,284,1,3,1,4,0,0,1,7,215,19
284,285,0,1,1,6,0,0,2,0,747,19
285,286,0,3,1,7,0,0,1,7,759,19
286,287,1,3,1,7,0,0,1,7,865,22
287,288,0,3,1,4,0,0,0,7,553,19
288,289,1,2,1,0,0,0,1,7,354,19
289,290,1,3,0,4,0,0,0,7,166,16
290,291,1,1,0,7,0,0,3,7,54,16
291,292,1,1,0,4,1,0,3,1,80,20
292,293,0,2,1,0,0,0,1,3,444,19
293,294,0,3,0,4,0,0,1,7,302,16
294,295,0,3,1,4,0,0,0,7,526,19
295,296,0,1,1,6,0,0,2,7,445,19
296,297,0,3,1,4,0,0,0,7,309,19
297,298,0,1,0,1,1,2,3,2,16,16
298,299,1,1,1,6,0,0,2,2,696,19
299,300,1,1,0,0,0,1,3,1,60,20
300,301,1,3,0,6,0,0,0,7,401,16
301,302,1,3,1,6,2,0,2,7,502,19
302,303,0,3,1,4,0,0,4,7,382,19
303,304,1,2,0,6,0,0,1,4,398,16
304,305,0,3,1,6,0,0,1,7,847,19
305,306,1,1,1,1,1,2,3,2,16,13
306,307,1,1,0,6,0,0,3,7,251,16
307,308,1,1,0,5,1,0,3,2,627,33
308,309,0,2,1,7,1,0,2,7,3,19
309,310,1,1,0,7,0,0,3,4,259,16
310,311,1,1,0,4,0,0,3,2,323,16
311,312,1,1,0,5,2,2,3,1,693,16
312,313,0,2,0,7,1,1,2,7,420,20
313,314,0,3,1,7,0,0,0,7,332,19
314,315,0,2,1,0,1,1,2,7,319,19
315,316,1,3,0,7,0,0,0,7,572,16
316,317,1,2,0,4,1,0,2,7,391,20
317,318,0,2,1,0,0,0,1,7,539,7
318,319,1,1,0,7,0,2,3,2,838,16
319,320,1,1,0,0,1,1,3,4,754,20
320,321,0,3,1,4,0,0,0,7,204,19
321,322,0,3,1,7,0,0,0,7,192,19
322,323,1,2,0,7,0,0,1,7,741,16
323,324,1,2,0,4,1,1,2,7,118,20
324,325,0,3,1,6,8,2,3,7,700,19
325,326,1,1,0,0,0,0,3,2,857,16
326,327,0,3,1,3,0,0,0,7,581,19
327,328,1,2,0,0,0,0,1,3,50,20
328,329,1,3,0,7,1,1,2,7,290,20
329,330,1,1,0,5,0,1,3,1,341,16
330,331,1,3,0,6,2,0,2,7,502,16
331,332,0,1,1,0,0,0,2,2,614,19
332,333,0,1,1,0,0,1,3,2,294,19
333,334,0,3,1,5,2,0,2,7,814,25
334,335,1,1,0,6,1,0,3,7,261,20
335,336,0,3,1,6,0,0,0,7,203,19
336,337,0,1,1,7,1,0,3,2,622,19
337,338,1,1,0,0,0,0,3,4,109,16
338,339,1,3,1,0,0,0,1,7,185,19
339,340,0,1,1,0,0,0,3,8,84,19
340,341,1,2,1,1,1,1,2,5,562,13
341,342,1,1,0,4,3,2,3,2,257,16
342,343,0,2,1,7,0,0,1,7,159,19
343,344,0,2,1,4,0,0,1,7,715,19
344,345,0,2,1,0,0,0,1,7,258,19
345,346,1,2,0,4,0,0,1,5,104,16
346,347,1,2,0,0,0,0,1,7,747,16
347,348,1,3,0,6,1,0,2,7,197,20
348,349,1,3,1,1,1,1,2,7,175,13
349,350,0,3,1,0,0,0,1,7,209,19
350,351,0,3,1,4,0,0,1,7,591,19
351,352,0,1,1,6,0,0,3,2,848,19
352,353,0,3,1,5,1,1,0,7,234,19
353,354,0,3,1,4,1,0,2,7,28,19
354,355,0,3,1,6,0,0,0,7,859,19
355,356,0,3,1,7,0,0,1,7,813,28
356,357,1,1,0,4,0,1,3,4,94,16
357,358,0,2,0,0,0,0,1,7,266,16
358,359,1,3,0,6,0,0,0,7,508,16
359,360,1,3,0,6,0,0,0,7,532,16
360,361,0,3,1,0,1,4,2,7,739,19
361,362,0,2,1,7,1,0,2,7,866,3
362,363,0,3,0,0,0,1,1,7,53,20
363,364,0,3,1,7,0,0,0,7,32,19
364,365,0,3,1,6,1,0,2,7,582,19
365,366,0,3,1,7,0,0,0,7,6,19
366,367,1,1,0,0,1,0,3,3,825,20
367,368,1,3,0,6,0,0,0,7,544,20
368,369,1,3,0,6,0,0,0,7,376,16
369,370,1,1,0,4,0,0,3,1,39,18
370,371,1,1,1,4,1,0,3,4,312,19
371,372,0,3,1,5,1,0,0,7,841,19
372,373,0,3,1,4,0,0,1,7,65,19
373,374,0,1,1,4,0,0,3,7,669,19
374,375,0,3,0,1,3,1,2,7,608,16
375,376,1,1,0,6,1,0,3,7,520,20
376,377,1,3,0,4,0,0,0,7,425,16
377,378,0,1,1,7,0,2,3,2,840,19
378,379,0,3,1,4,0,0,0,7,74,19
379,380,0,3,1,4,0,0,0,7,301,19
380,381,1,1,0,0,0,0,3,7,75,16
381,382,1,3,0,1,0,2,2,7,555,16
382,383,0,3,1,7,0,0,0,7,792,19
383,384,1,1,0,7,1,0,3,7,349,20
384,385,0,3,1,6,0,0,0,7,645,19
385,386,0,2,1,5,0,0,3,7,195,19
386,387,0,3,1,1,5,2,3,7,292,13
387,388,1,2,0,0,0,0,1,7,110,16
388,389,0,3,1,6,0,0,0,7,697,19
389,390,1,2,0,5,0,0,1,7,435,16
390,391,1,1,1,0,1,2,3,1,131,19
391,392,1,3,1,4,0,0,0,7,370,19
392,393,0,3,1,7,2,0,0,7,301,19
393,394,1,1,0,4,1,0,3,3,565,16
394,395,1,3,0,4,0,2,2,6,707,20
395,396,0,3,1,4,0,0,0,7,381,19
396,397,0,3,0,7,0,0,0,7,595,16
397,398,0,2,1,0,0,0,2,7,510,19
398,399,0,2,1,4,0,0,1,7,606,7
399,400,1,2,0,7,0,0,1,7,803,20
400,401,1,3,1,0,0,0,0,7,574,19
401,402,0,3,1,7,0,0,1,7,7,19
402,403,0,3,0,4,1,0,1,7,388,16
403,404,0,3,1,7,1,0,2,7,305,19
404,405,0,3,0,4,0,0,1,7,598,16
405,406,0,2,1,7,1,0,2,7,269,19
406,407,0,3,1,0,0,0,0,7,839,19
407,408,1,2,1,1,1,1,2,7,666,13
408,409,0,3,1,4,0,0,0,7,78,19
409,410,0,3,0,6,3,1,2,7,434,16
410,411,0,3,1,6,0,0,0,7,714,19
411,412,0,3,1,6,0,0,0,7,319,19
412,413,1,1,0,7,1,0,3,2,525,16
413,414,0,2,1,6,0,0,4,7,183,19
414,415,1,3,1,0,0,0,0,7,776,19
415,416,0,3,0,6,0,0,1,7,515,20
416,417,1,2,0,7,1,1,3,7,222,20
417,418,1,2,0,5,0,2,1,7,726,16
418,419,0,2,1,7,0,0,1,7,496,19
419,420,0,3,0,2,0,2,2,7,811,9
420,421,0,3,1,6,0,0,0,7,277,19
421,422,0,3,1,4,0,0,0,7,140,19
422,423,0,3,1,7,0,0,0,7,864,19
423,424,0,3,0,7,1,1,1,7,189,20
424,425,0,3,1,5,1,1,2,7,681,19
425,426,0,3,1,6,0,0,0,7,852,19
426,427,1,2,0,7,1,0,2,7,151,20
427,428,1,2,0,4,0,0,2,7,642,16
428,429,0,3,1,6,0,0,0,7,252,19
429,430,1,3,1,7,0,0,1,4,643,19
430,431,1,1,1,7,0,0,2,2,83,19
431,432,1,3,0,6,1,0,2,7,791,20
432,433,1,2,0,0,1,0,2,7,464,20
433,434,0,3,1,5,0,0,0,7,389,19
434,435,0,1,1,0,1,0,3,4,728,19
435,436,1,1,0,5,1,2,3,1,131,16
436,437,0,3,0,4,2,2,3,7,255,16
437,438,1,2,0,4,2,3,2,7,666,20
438,439,0,1,1,3,1,4,3,2,257,19
439,440,0,2,1,7,0,0,1,7,418,19
440,441,1,2,0,0,1,1,2,7,319,20
441,442,0,3,1,4,0,0,1,7,308,19
442,443,0,3,1,4,1,0,0,7,639,19
443,444,1,2,0,7,0,0,1,7,661,21
444,445,1,3,1,6,0,0,1,7,378,19
445,446,1,1,1,1,0,2,3,0,211,13
446,447,1,2,0,5,0,1,2,7,516,16
